y,region,country,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,elevation,X5_Ct_2010_Da,lumpy
22.437184,1,4,41.6,12.8,0,2.3,1.7,12.7,19.1,25.5,15.7,0,147,27970.9831,1
22.986757,1,16,40.5,13.3,0,2.4,0,13.2,19.8,26.5,16.3,0,145,25063.64669,1
23.610181,1,16,27.3,13.6,0.08,2.3,0.6,9.4,16.2,23,13,0.98,158,6038.477155,1
43.882221,1,8,45.3,12.8,31,0.4,8.8,-22.5,-16.1,-9.7,0.9,4.64,178,760.7033397,1
43.834976,1,8,38.8,13.2,31,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,270.3674263,1
43.966008,1,8,38.8,13.2,31,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,270.3674263,1
43.836019,1,8,38.8,13.2,31,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,270.3674263,1
43.688309,1,8,45.3,12.8,31,0.4,8.8,-22.5,-16.1,-9.7,0.9,4.64,178,760.7033397,1
43.591386,1,8,38.8,13.2,31,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,270.3674263,1
43.978094,1,8,38.8,13.2,31,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,270.3674263,1
43.761281,1,8,38.8,13.2,31,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,270.3674263,1
43.842698,1,8,43.6,13.3,31,0.4,11.1,-19,-12.3,-5.7,1.6,1.52,183,165.8319872,1
43.546925,1,8,43.6,13.3,31,0.4,11.1,-19,-12.3,-5.7,1.6,1.52,183,165.8319872,1
43.801366,1,8,43.6,13.3,31,0.4,11.1,-19,-12.3,-5.7,1.6,1.52,183,165.8319872,1
43.805409,1,8,38.8,13.2,31,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,270.3674263,1
43.833523,1,8,43.6,13.3,31,0.4,11.1,-19,-12.3,-5.7,1.6,1.52,183,165.8319872,1
43.727804,1,8,38.8,13.2,31,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,270.3674263,1
43.8284,1,8,38.8,13.2,31,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,270.3674263,1
44.045009,1,8,43.8,13.2,31,0.5,11.9,-21.8,-15.2,-8.6,0.8,4.87,167,1044.908233,1
43.99365,1,8,43.6,13.3,31,0.4,11.1,-19,-12.3,-5.7,1.6,1.52,183,165.8319872,1
43.15416,1,8,45.1,13.7,31,0.5,7.1,-25.3,-18.4,-11.6,0,2.08,203,252.1598838,1
32.791981,1,19,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11,15.38,167,1945.913549,1
32.776675,1,19,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11,15.38,167,1945.913549,1
32.456501,1,19,54,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83,191,523.3880539,1
32.694453,1,19,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11,15.38,167,1945.913549,1
32.811608,1,19,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11,15.38,167,1945.913549,1
32.811608,1,19,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11,15.38,167,1945.913549,1
32.75435,1,19,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10,13.09,159,558.6841025,1
53.804183,2,29,61.6,8.6,31,0,7.6,-26.7,-22.4,-18.1,1.1,7.49,156,176.7408241,1
51.446,2,29,71.1,6.8,30.97,0.2,42.6,-13.3,-9.9,-6.5,2.6,13.51,149,248.5527282,1
51.445628,2,29,71.1,6.8,30.97,0.2,42.6,-13.3,-9.9,-6.5,2.6,13.51,149,248.5527282,1
55.569204,2,29,45.1,8.4,31,0,3.5,-25.2,-21,-16.8,1.2,4.74,150,156.6862837,1
55.4583,2,29,42.4,8.4,31,0,3.6,-25.1,-20.9,-16.7,1.2,4.47,151,131.9575087,1
22.298,1,4,30.5,11.3,0,2.5,3.9,14,19.6,25.3,15.3,0,149,1719.636454,1
31.5729,1,36,50.5,9.1,1.01,1.8,79.2,7.9,12.4,17,10.2,13.65,160,9.145161204,1
54.55858,2,29,46.2,8.2,31,0,4.3,-25.7,-21.6,-17.5,1.1,4.43,153,262.0668625,1
54.98289,2,29,47,8.3,31,0,4.3,-25.5,-21.3,-17.2,1.1,2.42,153,260.1336625,1
54.955058,2,29,36.9,8.6,31,0,5.8,-27.3,-23,-18.7,1,3.3,151,185.7729687,1
55.937892,2,29,47.8,8.3,31,0,3.6,-25.1,-20.9,-16.8,1.2,6.34,155,104.7709918,1
55.6713,2,29,45.1,8.4,31,0,3.5,-25.2,-21,-16.8,1.2,4.74,150,156.6862837,1
54.917817,2,29,52.7,8,31,0,6.1,-26.5,-22.5,-18.5,1,3.75,155,175.6994304,1
54.81272,2,29,44.5,8.4,31,0,5.1,-26.2,-22,-17.8,1,2.66,152,213.1550973,1
54.92527,2,29,53.2,8,31,0,6,-26.6,-22.6,-18.6,1,3.02,154,144.7600887,1
54.323148,2,29,46.8,8.4,31,0,5.2,-25.5,-21.3,-17.1,1.1,3.63,153,250.2906518,1
54.84852,2,29,36.9,8.6,31,0,5.8,-27.3,-23,-18.7,1,3.3,151,185.7729687,1
55.05673,2,29,47.8,8.1,31,0,5.4,-26.8,-22.7,-18.7,1,3.53,153,176.1309735,1
54.5556,2,29,44.8,8.3,31,0,5.2,-26.1,-21.9,-17.8,1,2.64,153,286.2762257,1
34.9092,1,33,67.4,7.4,4.27,1.4,122.7,5.6,9.3,13,8.7,17.87,171,944.6532683,1
24.73,1,4,40.5,13.4,0,2.2,6.4,11.7,18.4,25.1,14.9,0.67,145,24730.39136,1
22.65,1,4,41.9,13.5,0,2.3,0.7,12.6,19.3,26.1,16,0.01,145,22074.53379,1
20.9605,1,16,36.7,12.4,0,2.9,0,15.1,21.3,27.5,18.2,0,145,36535.52167,1
21.636522,1,16,37,13.2,0,2.5,1.5,13.1,19.7,26.3,17.3,0.13,146,8614.420873,1
21.585458,1,16,37,13.2,0,2.5,1.5,13.1,19.7,26.3,17.3,0.13,146,8614.420873,1
52.49329,2,29,55.2,9.1,31,0.1,8.6,-25.9,-21.3,-16.8,1,6.21,156,251.9028643,1
24.589827,1,4,43.9,14,0,2,9.8,11,18,25,14.7,0.85,147,10521.85943,1
24.721343,1,4,44,13.1,0,2.1,5.7,11.9,18.4,25,14.8,0.65,147,21988.65273,1
23.136049,1,4,42.8,14.3,0,2.2,2.5,11.6,18.7,25.9,15.7,0.08,145,27967.79992,1
24.542086,1,4,40.5,13.4,0,2.2,6.4,11.7,18.4,25.1,14.9,0.67,145,24730.39136,1
25.835213,1,4,36.6,13.7,0,2.1,6.9,10.9,17.7,24.6,14.6,0.89,150,39462.81784,1
33.050647,1,19,61.1,7.6,0.11,1.7,159.4,9.3,13.1,16.9,10.7,16.59,161,602.6296796,1
